0.	-0.248017
0.01	-0.24783721387762708
0.02	-0.24729821301471366
0.03	-0.24640107479994228
0.04	-0.24514761096766174
0.05	-0.2435403911481686
0.06	-0.24158277469683123
0.07	-0.23927894970160718
0.08	-0.23663397781063567
0.09	-0.23365384330311798
0.1	-0.23034550465328665
0.11	-0.22671694671295808
0.12	-0.22277723156538076
0.13	-0.21853654608260556
0.14	-0.2140062442496515
0.15	-0.20919888239915294
0.16	-0.20412824562656925
0.17	-0.198809363824044
0.18	-0.19325851597546528
0.19	-0.18749322159050244
0.2	-0.18153221841531206
0.21	-0.17539542583595044
0.22	-0.16910389368093118
0.23	-0.1626797364253927
0.24	-0.1561460530944109
0.25	-0.1495268334502459
0.26	-0.1428468513201974
0.27	-0.1361315461695029
0.28	-0.1294068942364503
0.29	-0.12269927071023055
0.3	-0.11603530452623786
0.31	-0.10944172735050815
0.32	-0.10294521818463867
0.33	-0.0965722446875291
0.34	-0.09034890169990747
0.35000000000000003	-0.08430074646144096
0.36	-0.07845262848432519
0.37	-0.07282850981906291
0.38	-0.06745126834289455
0.39	-0.06234247261295121
0.4	-0.057522111869999996
0.41000000000000003	-0.05300825957389897
0.42	-0.048816644968906184
0.43	-0.04496010769791479
0.44	-0.04144792039195268
0.45	-0.038284989835494006
0.46	-0.03547099395507134
0.47000000000000003	-0.03299957792327476
0.48	-0.030857802324067235
0.49	-0.029026076126864996
0.5	-0.027478775900683795
0.51	-0.02618562805229739
0.52	-0.025113738700755485
0.53	-0.02422997101833915
0.54	-0.023503275458966633
0.55	-0.022906610492715668
0.56	-0.0224182195050673
0.5700000000000001	-0.02202218512985599
0.58	-0.021708306985139234
0.59	-0.021471420146707037
0.6	-0.02131029915828099
0.61	-0.021226298001272306
0.62	-0.02122187771957548
0.63	-0.021299175196518635
0.64	-0.021458762087809117
0.65	-0.021698720820286715
0.66	-0.022014118724366608
0.67	-0.022396897416451136
0.68	-0.022836128896948006
0.6900000000000001	-0.02331854128934077
0.7000000000000001	-0.023829197116961996
0.71	-0.024352214996148175
0.72	-0.024871451960713144
0.73	-0.025371096008906018
0.74	-0.025836147365686513
0.75	-0.026252787744207848
0.76	-0.02660864906652025
0.77	-0.026892998435469575
0.78	-0.027096857041379603
0.79	-0.02721306923264731
0.8	-0.027236335638540093
0.81	-0.027163221859813357
0.8200000000000001	-0.026992152248286626
0.8300000000000001	-0.02672339681148263
0.84	-0.02635905827715833
0.85	-0.0259030657219411
0.86	-0.025361180731088354
0.87	-0.024741021554425088
0.88	-0.02405210976194274
0.89	-0.023305941852138443
0.9	-0.022516084124175023
0.91	-0.021698281361387923
0.92	-0.02087055636872151
0.93	-0.020053255763017013
0.9400000000000001	-0.019268966241519244
0.9500000000000001	-0.01854218763753206
0.96	-0.01789861703777097
0.97	-0.01736390075022595
0.98	-0.016961791088554556
0.99	-0.016711835848995767
1.	-0.016627000000000006
