TMD:	 WS2 

band  1
-0.66650902 	 -2.08799755
-0.66322573 	 -2.08576470
-0.65994243 	 -2.08341545
-0.65665914 	 -2.08095084
-0.65337584 	 -2.07837194
-0.65009254 	 -2.07567988
-0.64680925 	 -2.07287581
-0.64352595 	 -2.06996098
-0.64024266 	 -2.06693665
-0.63695936 	 -2.06380413
-0.63367607 	 -2.06056480
-0.63039277 	 -2.05722005
-0.62710947 	 -2.05377135
-0.62382618 	 -2.05022020
-0.62054288 	 -2.04656814
-0.61725959 	 -2.04281674
-0.61397629 	 -2.03896764
-0.61069300 	 -2.03502250
-0.60740970 	 -2.03098301
-0.60412640 	 -2.02685093
-0.60084311 	 -2.02262802
-0.59755981 	 -2.01831609
-0.59427652 	 -2.01391699
-0.59099322 	 -2.00943259
-0.58770993 	 -2.00486480
-0.58442663 	 -2.00021556
-0.58114333 	 -1.99548681
-0.57786004 	 -1.99068057
-0.57457674 	 -1.98579884
-0.57129345 	 -1.98084366
-0.56801015 	 -1.97581709
-0.56472686 	 -1.97072122
-0.56144356 	 -1.96555815
-0.55816027 	 -1.96033000
-0.55487697 	 -1.95503891
-0.55159367 	 -1.94968703
-0.54831038 	 -1.94427653
-0.54502708 	 -1.93880959
-0.54174379 	 -1.93328839
-0.53846049 	 -1.92771514
-0.53517720 	 -1.92209204
-0.53189390 	 -1.91642132
-0.52861060 	 -1.91070518
-0.52532731 	 -1.90494585
-0.52204401 	 -1.89914557
-0.51876072 	 -1.89330654
-0.51547742 	 -1.88743101
-0.51219413 	 -1.88152119
-0.50891083 	 -1.87557930
-0.50562753 	 -1.86960756
-0.50234424 	 -1.86360818
-0.49906094 	 -1.85758336
-0.49577765 	 -1.85153529
-0.49249435 	 -1.84546615
-0.48921106 	 -1.83937812
-0.48592776 	 -1.83327336
-0.48264446 	 -1.82715400
-0.47936117 	 -1.82102218
-0.47607787 	 -1.81488001
-0.47279458 	 -1.80872959
-0.46951128 	 -1.80257298
-0.46622799 	 -1.79641224
-0.46294469 	 -1.79024942
-0.45966139 	 -1.78408651
-0.45637810 	 -1.77792551
-0.45309480 	 -1.77176839
-0.44981151 	 -1.76561708
-0.44652821 	 -1.75947349
-0.44324492 	 -1.75333950
-0.43996162 	 -1.74721699
-0.43667833 	 -1.74110776
-0.43339503 	 -1.73501362
-0.43011173 	 -1.72893634
-0.42682844 	 -1.72287765
-0.42354514 	 -1.71683926
-0.42026185 	 -1.71082282
-0.41697855 	 -1.70482999
-0.41369526 	 -1.69886236
-0.41041196 	 -1.69292150
-0.40712866 	 -1.68700894
-0.40384537 	 -1.68112617
-0.40056207 	 -1.67527467
-0.39727878 	 -1.66945584
-0.39399548 	 -1.66367107
-0.39071219 	 -1.65792172
-0.38742889 	 -1.65220909
-0.38414559 	 -1.64653446
-0.38086230 	 -1.64089906
-0.37757900 	 -1.63530408
-0.37429571 	 -1.62975069
-0.37101241 	 -1.62423999
-0.36772912 	 -1.61877308
-0.36444582 	 -1.61335098
-0.36116252 	 -1.60797471
-0.35787923 	 -1.60264522
-0.35459593 	 -1.59736343
-0.35131264 	 -1.59213024
-0.34802934 	 -1.58694649
-0.34474605 	 -1.58181299
-0.34146275 	 -1.57673050
-0.33817945 	 -1.57169977
-0.33489616 	 -1.56672147
-0.33161286 	 -1.56179628
-0.32832957 	 -1.55692481
-0.32504627 	 -1.55210764
-0.32176298 	 -1.54734532
-0.31847968 	 -1.54263836
-0.31519638 	 -1.53798724
-0.31191309 	 -1.53339239
-0.30862979 	 -1.52885422
-0.30534650 	 -1.52437311
-0.30206320 	 -1.51994938
-0.29877991 	 -1.51558336
-0.29549661 	 -1.51127530
-0.29221332 	 -1.50702545
-0.28893002 	 -1.50283401
-0.28564672 	 -1.49870118
-0.28236343 	 -1.49462709
-0.27908013 	 -1.49061186
-0.27579684 	 -1.48665559
-0.27251354 	 -1.48275834
-0.26923025 	 -1.47892015
-0.26594695 	 -1.47514102
-0.26266365 	 -1.47142093
-0.25938036 	 -1.46775985
-0.25609706 	 -1.46415770
-0.25281377 	 -1.46061441
-0.24953047 	 -1.45712985
-0.24624718 	 -1.45370389
-0.24296388 	 -1.45033637
-0.23968058 	 -1.44702712
-0.23639729 	 -1.44377594
-0.23311399 	 -1.44058261
-0.22983070 	 -1.43744690
-0.22654740 	 -1.43436856
-0.22326411 	 -1.43134731
-0.21998081 	 -1.42838288
-0.21669751 	 -1.42547496
-0.21341422 	 -1.42262324
-0.21013092 	 -1.41982739
-0.20684763 	 -1.41708707
-0.20356433 	 -1.41440193
-0.20028104 	 -1.41177160
-0.19699774 	 -1.40919570
-0.19371444 	 -1.40667386
-0.19043115 	 -1.40420567
-0.18714785 	 -1.40179074
-0.18386456 	 -1.39942865
-0.18058126 	 -1.39711899
-0.17729797 	 -1.39486133
-0.17401467 	 -1.39265524
-0.17073138 	 -1.39050029
-0.16744808 	 -1.38839604
-0.16416478 	 -1.38634205
-0.16088149 	 -1.38433787
-0.15759819 	 -1.38238306
-0.15431490 	 -1.38047717
-0.15103160 	 -1.37861974
-0.14774831 	 -1.37681033
-0.14446501 	 -1.37504850
-0.14118171 	 -1.37333378
-0.13789842 	 -1.37166574
-0.13461512 	 -1.37004394
-0.13133183 	 -1.36846791
-0.12804853 	 -1.36693724
-0.12476524 	 -1.36545149
-0.12148194 	 -1.36401022
-0.11819864 	 -1.36261301
-0.11491535 	 -1.36125943
-0.11163205 	 -1.35994909
