TMD:	 WSe2 

band  1
-0.61069300 	 -1.40225497
-0.60740970 	 -1.40191908
-0.60412640 	 -1.40147506
-0.60084311 	 -1.40092391
-0.59755981 	 -1.40026671
-0.59427652 	 -1.39950460
-0.59099322 	 -1.39863877
-0.58770993 	 -1.39767047
-0.58442663 	 -1.39660101
-0.58114333 	 -1.39543174
-0.57786004 	 -1.39416407
-0.57457674 	 -1.39279945
-0.57129345 	 -1.39133937
-0.56801015 	 -1.38978535
-0.56472686 	 -1.38813898
-0.56144356 	 -1.38640186
-0.55816027 	 -1.38457561
-0.55487697 	 -1.38266192
-0.55159367 	 -1.38066246
-0.54831038 	 -1.37857897
-0.54502708 	 -1.37641317
-0.54174379 	 -1.37416683
-0.53846049 	 -1.37184173
-0.53517720 	 -1.36943966
-0.53189390 	 -1.36696243
-0.52861060 	 -1.36441185
-0.52532731 	 -1.36178976
-0.52204401 	 -1.35909798
-0.51876072 	 -1.35633837
-0.51547742 	 -1.35351277
-0.51219413 	 -1.35062303
-0.50891083 	 -1.34767100
-0.50562753 	 -1.34465854
-0.50234424 	 -1.34158750
-0.49906094 	 -1.33845974
-0.49577765 	 -1.33527710
-0.49249435 	 -1.33204142
-0.48921106 	 -1.32875456
-0.48592776 	 -1.32541835
-0.48264446 	 -1.32203461
-0.47936117 	 -1.31860518
-0.47607787 	 -1.31513186
-0.47279458 	 -1.31161648
-0.46951128 	 -1.30806083
-0.46622799 	 -1.30446670
-0.46294469 	 -1.30083588
-0.45966139 	 -1.29717013
-0.45637810 	 -1.29347124
-0.45309480 	 -1.28974094
-0.44981151 	 -1.28598098
-0.44652821 	 -1.28219310
-0.44324492 	 -1.27837900
-0.43996162 	 -1.27454040
-0.43667833 	 -1.27067900
-0.43339503 	 -1.26679647
-0.43011173 	 -1.26289448
-0.42682844 	 -1.25897469
-0.42354514 	 -1.25503874
-0.42026185 	 -1.25108825
-0.41697855 	 -1.24712484
-0.41369526 	 -1.24315010
-0.41041196 	 -1.23916561
-0.40712866 	 -1.23517294
-0.40384537 	 -1.23117362
-0.40056207 	 -1.22716920
-0.39727878 	 -1.22316117
-0.39399548 	 -1.21915103
-0.39071219 	 -1.21514026
-0.38742889 	 -1.21113030
-0.38414559 	 -1.20712259
-0.38086230 	 -1.20311854
-0.37757900 	 -1.19911955
-0.37429571 	 -1.19512697
-0.37101241 	 -1.19114217
-0.36772912 	 -1.18716645
-0.36444582 	 -1.18320113
-0.36116252 	 -1.17924747
-0.35787923 	 -1.17530673
-0.35459593 	 -1.17138014
-0.35131264 	 -1.16746889
-0.34802934 	 -1.16357416
-0.34474605 	 -1.15969711
-0.34146275 	 -1.15583885
-0.33817945 	 -1.15200047
-0.33489616 	 -1.14818306
-0.33161286 	 -1.14438764
-0.32832957 	 -1.14061523
-0.32504627 	 -1.13686682
-0.32176298 	 -1.13314336
-0.31847968 	 -1.12944578
-0.31519638 	 -1.12577497
-0.31191309 	 -1.12213182
-0.30862979 	 -1.11851716
-0.30534650 	 -1.11493180
-0.30206320 	 -1.11137653
-0.29877991 	 -1.10785211
-0.29549661 	 -1.10435926
-0.29221332 	 -1.10089868
-0.28893002 	 -1.09747104
-0.28564672 	 -1.09407698
-0.28236343 	 -1.09071712
-0.27908013 	 -1.08739205
-0.27579684 	 -1.08410231
-0.27251354 	 -1.08084845
-0.26923025 	 -1.07763097
-0.26594695 	 -1.07445035
-0.26266365 	 -1.07130703
-0.25938036 	 -1.06820145
-0.25609706 	 -1.06513401
-0.25281377 	 -1.06210508
-0.24953047 	 -1.05911502
-0.24624718 	 -1.05616415
-0.24296388 	 -1.05325278
-0.23968058 	 -1.05038119
-0.23639729 	 -1.04754964
-0.23311399 	 -1.04475836
-0.22983070 	 -1.04200758
