TMD:	 WSe2 

band  1
-0.61069300 	 -1.37385526
-0.60740970 	 -1.37385770
-0.60412640 	 -1.37379018
-0.60084311 	 -1.37365208
-0.59755981 	 -1.37344276
-0.59427652 	 -1.37316153
-0.59099322 	 -1.37280768
-0.58770993 	 -1.37238045
-0.58442663 	 -1.37187907
-0.58114333 	 -1.37130273
-0.57786004 	 -1.37065060
-0.57457674 	 -1.36992185
-0.57129345 	 -1.36911563
-0.56801015 	 -1.36823108
-0.56472686 	 -1.36726737
-0.56144356 	 -1.36622367
-0.55816027 	 -1.36509917
-0.55487697 	 -1.36389312
-0.55159367 	 -1.36260479
-0.54831038 	 -1.36123353
-0.54502708 	 -1.35977875
-0.54174379 	 -1.35823995
-0.53846049 	 -1.35661672
-0.53517720 	 -1.35490876
-0.53189390 	 -1.35311590
-0.52861060 	 -1.35123809
-0.52532731 	 -1.34927541
-0.52204401 	 -1.34722811
-0.51876072 	 -1.34509659
-0.51547742 	 -1.34288141
-0.51219413 	 -1.34058331
-0.50891083 	 -1.33820317
-0.50562753 	 -1.33574207
-0.50234424 	 -1.33320124
-0.49906094 	 -1.33058209
-0.49577765 	 -1.32788618
-0.49249435 	 -1.32511523
-0.48921106 	 -1.32227108
-0.48592776 	 -1.31935574
-0.48264446 	 -1.31637132
-0.47936117 	 -1.31332005
-0.47607787 	 -1.31020426
-0.47279458 	 -1.30702635
-0.46951128 	 -1.30378880
-0.46622799 	 -1.30049417
-0.46294469 	 -1.29714503
-0.45966139 	 -1.29374400
-0.45637810 	 -1.29029372
-0.45309480 	 -1.28679684
-0.44981151 	 -1.28325600
-0.44652821 	 -1.27967385
-0.44324492 	 -1.27605299
-0.43996162 	 -1.27239601
-0.43667833 	 -1.26870546
-0.43339503 	 -1.26498384
-0.43011173 	 -1.26123363
-0.42682844 	 -1.25745723
-0.42354514 	 -1.25365700
-0.42026185 	 -1.24983524
-0.41697855 	 -1.24599418
-0.41369526 	 -1.24213603
-0.41041196 	 -1.23826288
-0.40712866 	 -1.23437680
-0.40384537 	 -1.23047979
-0.40056207 	 -1.22657378
-0.39727878 	 -1.22266065
-0.39399548 	 -1.21874221
-0.39071219 	 -1.21482023
-0.38742889 	 -1.21089642
-0.38414559 	 -1.20697241
-0.38086230 	 -1.20304981
-0.37757900 	 -1.19913016
-0.37429571 	 -1.19521497
-0.37101241 	 -1.19130568
-0.36772912 	 -1.18740371
-0.36444582 	 -1.18351042
-0.36116252 	 -1.17962712
-0.35787923 	 -1.17575512
-0.35459593 	 -1.17189564
-0.35131264 	 -1.16804992
-0.34802934 	 -1.16421912
-0.34474605 	 -1.16040440
-0.34146275 	 -1.15660686
-0.33817945 	 -1.15282760
-0.33489616 	 -1.14906768
-0.33161286 	 -1.14532813
-0.32832957 	 -1.14160996
-0.32504627 	 -1.13791415
-0.32176298 	 -1.13424167
-0.31847968 	 -1.13059345
-0.31519638 	 -1.12697040
-0.31191309 	 -1.12337344
-0.30862979 	 -1.11980342
-0.30534650 	 -1.11626122
-0.30206320 	 -1.11274767
-0.29877991 	 -1.10926358
-0.29549661 	 -1.10580977
-0.29221332 	 -1.10238702
