TMD:	 WS2 

band  1
-0.66650902 	 -2.07621129
-0.66322573 	 -2.07506319
-0.65994243 	 -2.07380340
-0.65665914 	 -2.07243085
-0.65337584 	 -2.07094449
-0.65009254 	 -2.06934329
-0.64680925 	 -2.06762624
-0.64352595 	 -2.06579235
-0.64024266 	 -2.06384070
-0.63695936 	 -2.06177037
-0.63367607 	 -2.05958051
-0.63039277 	 -2.05727033
-0.62710947 	 -2.05483910
-0.62382618 	 -2.05228615
-0.62054288 	 -2.04961090
-0.61725959 	 -2.04681285
-0.61397629 	 -2.04389160
-0.61069300 	 -2.04084685
-0.60740970 	 -2.03767840
-0.60412640 	 -2.03438617
-0.60084311 	 -2.03097021
-0.59755981 	 -2.02743070
-0.59427652 	 -2.02376793
-0.59099322 	 -2.01998236
-0.58770993 	 -2.01607458
-0.58442663 	 -2.01204534
-0.58114333 	 -2.00789554
-0.57786004 	 -2.00362624
-0.57457674 	 -1.99923866
-0.57129345 	 -1.99473419
-0.56801015 	 -1.99011438
-0.56472686 	 -1.98538095
-0.56144356 	 -1.98053577
-0.55816027 	 -1.97558089
-0.55487697 	 -1.97051852
-0.55159367 	 -1.96535101
-0.54831038 	 -1.96008089
-0.54502708 	 -1.95471083
-0.54174379 	 -1.94924364
-0.53846049 	 -1.94368228
-0.53517720 	 -1.93802983
-0.53189390 	 -1.93228951
-0.52861060 	 -1.92646463
-0.52532731 	 -1.92055865
-0.52204401 	 -1.91457509
-0.51876072 	 -1.90851759
-0.51547742 	 -1.90238986
-0.51219413 	 -1.89619568
-0.50891083 	 -1.88993889
-0.50562753 	 -1.88362340
-0.50234424 	 -1.87725313
-0.49906094 	 -1.87083207
-0.49577765 	 -1.86436420
-0.49249435 	 -1.85785355
-0.48921106 	 -1.85130411
-0.48592776 	 -1.84471989
-0.48264446 	 -1.83810489
-0.47936117 	 -1.83146308
-0.47607787 	 -1.82479840
-0.47279458 	 -1.81811475
-0.46951128 	 -1.81141599
-0.46622799 	 -1.80470592
-0.46294469 	 -1.79798829
-0.45966139 	 -1.79126678
-0.45637810 	 -1.78454501
-0.45309480 	 -1.77782650
-0.44981151 	 -1.77111473
-0.44652821 	 -1.76441307
-0.44324492 	 -1.75772480
-0.43996162 	 -1.75105312
-0.43667833 	 -1.74440115
-0.43339503 	 -1.73777189
-0.43011173 	 -1.73116826
-0.42682844 	 -1.72459308
-0.42354514 	 -1.71804906
-0.42026185 	 -1.71153882
-0.41697855 	 -1.70506487
-0.41369526 	 -1.69862964
-0.41041196 	 -1.69223543
-0.40712866 	 -1.68588446
-0.40384537 	 -1.67957883
-0.40056207 	 -1.67332057
-0.39727878 	 -1.66711158
-0.39399548 	 -1.66095368
-0.39071219 	 -1.65484859
-0.38742889 	 -1.64879794
-0.38414559 	 -1.64280324
-0.38086230 	 -1.63686595
-0.37757900 	 -1.63098741
-0.37429571 	 -1.62516888
-0.37101241 	 -1.61941154
-0.36772912 	 -1.61371647
-0.36444582 	 -1.60808468
-0.36116252 	 -1.60251710
-0.35787923 	 -1.59701459
-0.35459593 	 -1.59157791
-0.35131264 	 -1.58620777
-0.34802934 	 -1.58090479
-0.34474605 	 -1.57566954
-0.34146275 	 -1.57050251
-0.33817945 	 -1.56540413
-0.33489616 	 -1.56037478
-0.33161286 	 -1.55541474
-0.32832957 	 -1.55052429
-0.32504627 	 -1.54570361
-0.32176298 	 -1.54095283
-0.31847968 	 -1.53627207
-0.31519638 	 -1.53166134
-0.31191309 	 -1.52712066
-0.30862979 	 -1.52264996
-0.30534650 	 -1.51824915
-0.30206320 	 -1.51391810
-0.29877991 	 -1.50965663
-0.29549661 	 -1.50546454
-0.29221332 	 -1.50134158
-0.28893002 	 -1.49728746
-0.28564672 	 -1.49330188
-0.28236343 	 -1.48938449
-0.27908013 	 -1.48553493
-0.27579684 	 -1.48175280
-0.27251354 	 -1.47803768
-0.26923025 	 -1.47438912
-0.26594695 	 -1.47080666
-0.26266365 	 -1.46728981
-0.25938036 	 -1.46383806
-0.25609706 	 -1.46045090
-0.25281377 	 -1.45712777
-0.24953047 	 -1.45386814
-0.24624718 	 -1.45067143
-0.24296388 	 -1.44753705
-0.23968058 	 -1.44446442
-0.23639729 	 -1.44145294
-0.23311399 	 -1.43850199
-0.22983070 	 -1.43561096
-0.22654740 	 -1.43277921
-0.22326411 	 -1.43000612
-0.21998081 	 -1.42729106
-0.21669751 	 -1.42463337
-0.21341422 	 -1.42203242
-0.21013092 	 -1.41948757
-0.20684763 	 -1.41699815
-0.20356433 	 -1.41456354
-0.20028104 	 -1.41218306
-0.19699774 	 -1.40985610
-0.19371444 	 -1.40758198
-0.19043115 	 -1.40536008
-0.18714785 	 -1.40318975
-0.18386456 	 -1.40107035
-0.18058126 	 -1.39900126
-0.17729797 	 -1.39698183
-0.17401467 	 -1.39501146
-0.17073138 	 -1.39308953
-0.16744808 	 -1.39121541
-0.16416478 	 -1.38938851
-0.16088149 	 -1.38760823
-0.15759819 	 -1.38587397
-0.15431490 	 -1.38418516
-0.15103160 	 -1.38254123
-0.14774831 	 -1.38094160
-0.14446501 	 -1.37938571
-0.14118171 	 -1.37787303
-0.13789842 	 -1.37640300
-0.13461512 	 -1.37497511
-0.13133183 	 -1.37358883
-0.12804853 	 -1.37224366
-0.12476524 	 -1.37093909
-0.12148194 	 -1.36967463
-0.11819864 	 -1.36844982
-0.11491535 	 -1.36726418
-0.11163205 	 -1.36611726
-0.10834876 	 -1.36500861
-0.10506546 	 -1.36393780
-0.10178217 	 -1.36290441
-0.09849887 	 -1.36190804
-0.09521557 	 -1.36094827
-0.09193228 	 -1.36002474
-0.08864898 	 -1.35913705
-0.08536569 	 -1.35828485
-0.08208239 	 -1.35746780
-0.07879910 	 -1.35668555
-0.07551580 	 -1.35593777
-0.07223250 	 -1.35522416
-0.06894921 	 -1.35454440
-0.06566591 	 -1.35389823
-0.06238262 	 -1.35328535
-0.05909932 	 -1.35270551
-0.05581603 	 -1.35215845
-0.05253273 	 -1.35164394
-0.04924944 	 -1.35116175
-0.04596614 	 -1.35071167
-0.04268284 	 -1.35029350
-0.03939955 	 -1.34990706
-0.03611625 	 -1.34955217
-0.03283296 	 -1.34922868
-0.02954966 	 -1.34893643
-0.02626637 	 -1.34867531
-0.02298307 	 -1.34844518
-0.01969977 	 -1.34824594
-0.01641648 	 -1.34807751
-0.01313318 	 -1.34793981
-0.00984989 	 -1.34783276
-0.00656659 	 -1.34775634
-0.00328330 	 -1.34771050
-0.00000000 	 -1.34769522
0.00328330 	 -1.34771050
0.00656659 	 -1.34775634
0.00984989 	 -1.34783276
0.01313318 	 -1.34793981
0.01641648 	 -1.34807751
0.01969977 	 -1.34824594
0.02298307 	 -1.34844518
0.02626637 	 -1.34867531
0.02954966 	 -1.34893643
0.03283296 	 -1.34922868
0.03611625 	 -1.34955217
0.03939955 	 -1.34990706
0.04268284 	 -1.35029350
0.04596614 	 -1.35071167
0.04924944 	 -1.35116175
0.05253273 	 -1.35164394
0.05581603 	 -1.35215845
0.05909932 	 -1.35270551
0.06238262 	 -1.35328535
0.06566591 	 -1.35389823
0.06894921 	 -1.35454440
0.07223250 	 -1.35522416
0.07551580 	 -1.35593777
0.07879910 	 -1.35668555
0.08208239 	 -1.35746780
0.08536569 	 -1.35828485
0.08864898 	 -1.35913705
0.09193228 	 -1.36002474
0.09521557 	 -1.36094827
0.09849887 	 -1.36190804
0.10178217 	 -1.36290441
0.10506546 	 -1.36393780
0.10834876 	 -1.36500861
0.11163205 	 -1.36611726
0.11491535 	 -1.36726418
0.11819864 	 -1.36844982
0.12148194 	 -1.36967463
0.12476524 	 -1.37093909
0.12804853 	 -1.37224366
0.13133183 	 -1.37358883
0.13461512 	 -1.37497511
0.13789842 	 -1.37640300
0.14118171 	 -1.37787303
0.14446501 	 -1.37938571
0.14774831 	 -1.38094160
0.15103160 	 -1.38254123
0.15431490 	 -1.38418516
0.15759819 	 -1.38587397
0.16088149 	 -1.38760823
0.16416478 	 -1.38938851
0.16744808 	 -1.39121541
0.17073138 	 -1.39308953
0.17401467 	 -1.39501146
0.17729797 	 -1.39698183
0.18058126 	 -1.39900126
0.18386456 	 -1.40107035
0.18714785 	 -1.40318975
0.19043115 	 -1.40536008
0.19371444 	 -1.40758198
0.19699774 	 -1.40985610
0.20028104 	 -1.41218306
0.20356433 	 -1.41456354
0.20684763 	 -1.41699815
0.21013092 	 -1.41948757
0.21341422 	 -1.42203242
0.21669751 	 -1.42463337
0.21998081 	 -1.42729106
0.22326411 	 -1.43000612
0.22654740 	 -1.43277921
0.22983070 	 -1.43561096
0.23311399 	 -1.43850199
0.23639729 	 -1.44145294
0.23968058 	 -1.44446442
0.24296388 	 -1.44753705
0.24624718 	 -1.45067143
0.24953047 	 -1.45386814
0.25281377 	 -1.45712777
0.25609706 	 -1.46045090
0.25938036 	 -1.46383806
0.26266365 	 -1.46728981
0.26594695 	 -1.47080666
0.26923025 	 -1.47438912
0.27251354 	 -1.47803768
0.27579684 	 -1.48175280
0.27908013 	 -1.48553493
0.28236343 	 -1.48938449
0.28564672 	 -1.49330188
0.28893002 	 -1.49728746
0.29221332 	 -1.50134158
0.29549661 	 -1.50546454
0.29877991 	 -1.50965663
0.30206320 	 -1.51391810
0.30534650 	 -1.51824915
0.30862979 	 -1.52264996
0.31191309 	 -1.52712066
0.31519638 	 -1.53166134
0.31847968 	 -1.53627207
0.32176298 	 -1.54095283
0.32504627 	 -1.54570361
0.32832957 	 -1.55052429
0.33161286 	 -1.55541474
0.33489616 	 -1.56037478
0.33817945 	 -1.56540413
0.34146275 	 -1.57050251
0.34474605 	 -1.57566954
0.34802934 	 -1.58090479
0.35131264 	 -1.58620777
0.35459593 	 -1.59157791
0.35787923 	 -1.59701459
0.36116252 	 -1.60251710
0.36444582 	 -1.60808468
0.36772912 	 -1.61371647
0.37101241 	 -1.61941154
0.37429571 	 -1.62516888
0.37757900 	 -1.63098741
0.38086230 	 -1.63686595
0.38414559 	 -1.64280324
0.38742889 	 -1.64879794
0.39071219 	 -1.65484859
0.39399548 	 -1.66095368
0.39727878 	 -1.66711158
0.40056207 	 -1.67332057
0.40384537 	 -1.67957883
0.40712866 	 -1.68588446
0.41041196 	 -1.69223543
0.41369526 	 -1.69862964
0.41697855 	 -1.70506487
0.42026185 	 -1.71153882
0.42354514 	 -1.71804906
0.42682844 	 -1.72459308
0.43011173 	 -1.73116826
0.43339503 	 -1.73777189
0.43667833 	 -1.74440115
0.43996162 	 -1.75105312
0.44324492 	 -1.75772480
0.44652821 	 -1.76441307
0.44981151 	 -1.77111473
0.45309480 	 -1.77782650
0.45637810 	 -1.78454501
0.45966139 	 -1.79126678
0.46294469 	 -1.79798829
0.46622799 	 -1.80470592
0.46951128 	 -1.81141599
0.47279458 	 -1.81811475
0.47607787 	 -1.82479840
0.47936117 	 -1.83146308
0.48264446 	 -1.83810489
0.48592776 	 -1.84471989
0.48921106 	 -1.85130411
0.49249435 	 -1.85785355
0.49577765 	 -1.86436420
0.49906094 	 -1.87083207
0.50234424 	 -1.87725313
0.50562753 	 -1.88362340
0.50891083 	 -1.88993889
0.51219413 	 -1.89619568
0.51547742 	 -1.90238986
0.51876072 	 -1.90851759
0.52204401 	 -1.91457509
0.52532731 	 -1.92055865
0.52861060 	 -1.92646463
0.53189390 	 -1.93228951
0.53517720 	 -1.93802983
0.53846049 	 -1.94368228
0.54174379 	 -1.94924364
0.54502708 	 -1.95471083
0.54831038 	 -1.96008089
0.55159367 	 -1.96535101
0.55487697 	 -1.97051852
0.55816027 	 -1.97558089
0.56144356 	 -1.98053577
0.56472686 	 -1.98538095
0.56801015 	 -1.99011438
0.57129345 	 -1.99473419
0.57457674 	 -1.99923866
0.57786004 	 -2.00362624
0.58114333 	 -2.00789554
0.58442663 	 -2.01204534
0.58770993 	 -2.01607458
0.59099322 	 -2.01998236
0.59427652 	 -2.02376793
0.59755981 	 -2.02743070
0.60084311 	 -2.03097021
0.60412640 	 -2.03438617
0.60740970 	 -2.03767840
0.61069300 	 -2.04084685
0.61397629 	 -2.04389160
0.61725959 	 -2.04681285
0.62054288 	 -2.04961090
0.62382618 	 -2.05228615
0.62710947 	 -2.05483910
0.63039277 	 -2.05727033
0.63367607 	 -2.05958051
0.63695936 	 -2.06177037
0.64024266 	 -2.06384070
0.64352595 	 -2.06579235
0.64680925 	 -2.06762624
0.65009254 	 -2.06934329
0.65337584 	 -2.07094449
0.65665914 	 -2.07243085
0.65994243 	 -2.07380340
0.66322573 	 -2.07506319
0.66650902 	 -2.07621129
0.66979232 	 -2.07724875
0.67307561 	 -2.07817666
0.67635891 	 -2.07899607
0.67964221 	 -2.07970806
0.68292550 	 -2.08031367
0.68620880 	 -2.08081394
0.68949209 	 -2.08120990
0.69277539 	 -2.08150254
0.69605868 	 -2.08169284
0.69934198 	 -2.08178177
0.70262527 	 -2.08177024
0.70590857 	 -2.08165917
0.70919187 	 -2.08144943
0.71247516 	 -2.08114186
0.71575846 	 -2.08073727
0.71904175 	 -2.08023644
0.72232505 	 -2.07964013
0.72560834 	 -2.07894905
0.72889164 	 -2.07816387
0.73217494 	 -2.07728526
0.73545823 	 -2.07631384
0.73874153 	 -2.07525019
0.74202482 	 -2.07409486
0.74530812 	 -2.07284839
0.74859141 	 -2.07151126
0.75187471 	 -2.07008395
