TMD:	 WSe2 

band  1
-0.61069300 	 -1.37062856
-0.60740970 	 -1.37105842
-0.60412640 	 -1.37141153
-0.60084311 	 -1.37168679
-0.59755981 	 -1.37188306
-0.59427652 	 -1.37199921
-0.59099322 	 -1.37203406
-0.58770993 	 -1.37198646
-0.58442663 	 -1.37185520
-0.58114333 	 -1.37163910
-0.57786004 	 -1.37133698
-0.57457674 	 -1.37094764
-0.57129345 	 -1.37046990
-0.56801015 	 -1.36990261
-0.56472686 	 -1.36924460
-0.56144356 	 -1.36849477
-0.55816027 	 -1.36765203
-0.55487697 	 -1.36671532
-0.55159367 	 -1.36568363
-0.54831038 	 -1.36455603
-0.54502708 	 -1.36333162
-0.54174379 	 -1.36200957
-0.53846049 	 -1.36058916
-0.53517720 	 -1.35906972
-0.53189390 	 -1.35745070
-0.52861060 	 -1.35573162
-0.52532731 	 -1.35391215
-0.52204401 	 -1.35199206
-0.51876072 	 -1.34997125
-0.51547742 	 -1.34784974
-0.51219413 	 -1.34562772
-0.50891083 	 -1.34330550
-0.50562753 	 -1.34088356
-0.50234424 	 -1.33836254
-0.49906094 	 -1.33574323
-0.49577765 	 -1.33302662
-0.49249435 	 -1.33021382
-0.48921106 	 -1.32730616
-0.48592776 	 -1.32430513
-0.48264446 	 -1.32121237
-0.47936117 	 -1.31802974
-0.47607787 	 -1.31475922
-0.47279458 	 -1.31140300
-0.46951128 	 -1.30796342
-0.46622799 	 -1.30444296
-0.46294469 	 -1.30084429
-0.45966139 	 -1.29717019
-0.45637810 	 -1.29342361
-0.45309480 	 -1.28960761
-0.44981151 	 -1.28572537
-0.44652821 	 -1.28178021
-0.44324492 	 -1.27777551
-0.43996162 	 -1.27371478
-0.43667833 	 -1.26960157
-0.43339503 	 -1.26543953
-0.43011173 	 -1.26123235
-0.42682844 	 -1.25698376
-0.42354514 	 -1.25269755
-0.42026185 	 -1.24837749
-0.41697855 	 -1.24402740
-0.41369526 	 -1.23965106
-0.41041196 	 -1.23525226
-0.40712866 	 -1.23083476
-0.40384537 	 -1.22640230
-0.40056207 	 -1.22195854
-0.39727878 	 -1.21750714
-0.39399548 	 -1.21305164
-0.39071219 	 -1.20859555
-0.38742889 	 -1.20414230
-0.38414559 	 -1.19969521
-0.38086230 	 -1.19525753
-0.37757900 	 -1.19083242
-0.37429571 	 -1.18642291
-0.37101241 	 -1.18203195
-0.36772912 	 -1.17766236
-0.36444582 	 -1.17331688
-0.36116252 	 -1.16899808
-0.35787923 	 -1.16470847
-0.35459593 	 -1.16045040
-0.35131264 	 -1.15622611
-0.34802934 	 -1.15203773
-0.34474605 	 -1.14788725
-0.34146275 	 -1.14377656
-0.33817945 	 -1.13970741
-0.33489616 	 -1.13568145
-0.33161286 	 -1.13170020
-0.32832957 	 -1.12776507
-0.32504627 	 -1.12387735
-0.32176298 	 -1.12003823
-0.31847968 	 -1.11624878
-0.31519638 	 -1.11250999
-0.31191309 	 -1.10882271
-0.30862979 	 -1.10518773
-0.30534650 	 -1.10160571
-0.30206320 	 -1.09807725
-0.29877991 	 -1.09460285
-0.29549661 	 -1.09118291
-0.29221332 	 -1.08781778
-0.28893002 	 -1.08450770
-0.28564672 	 -1.08125287
-0.28236343 	 -1.07805340
-0.27908013 	 -1.07490933
-0.27579684 	 -1.07182066
-0.27251354 	 -1.06878731
-0.26923025 	 -1.06580916
-0.26594695 	 -1.06288603
-0.26266365 	 -1.06001770
-0.25938036 	 -1.05720390
-0.25609706 	 -1.05444431
-0.25281377 	 -1.05173860
-0.24953047 	 -1.04908638
-0.24624718 	 -1.04648723
-0.24296388 	 -1.04394071
-0.23968058 	 -1.04144636
-0.23639729 	 -1.03900366
-0.23311399 	 -1.03661212
-0.22983070 	 -1.03427118
-0.22654740 	 -1.03198032
-0.22326411 	 -1.02973894
-0.21998081 	 -1.02754649
-0.21669751 	 -1.02538746
-0.21341422 	 -1.02327803
-0.21013092 	 -1.02121796
-0.20684763 	 -1.01920639
-0.20356433 	 -1.01724248
-0.20028104 	 -1.01532541
-0.19699774 	 -1.01345437
-0.19371444 	 -1.01162857
-0.19043115 	 -1.00984723
-0.18714785 	 -1.00810961
-0.18386456 	 -1.00641495
-0.18058126 	 -1.00476255
-0.17729797 	 -1.00315168
-0.17401467 	 -1.00158167
-0.17073138 	 -1.00005184
-0.16744808 	 -0.99856154
-0.16416478 	 -0.99711012
-0.16088149 	 -0.99569695
-0.15759819 	 -0.99432144
-0.15431490 	 -0.99298299
-0.15103160 	 -0.99168102
-0.14774831 	 -0.99041496
-0.14446501 	 -0.98918429
-0.14118171 	 -0.98798845
-0.13789842 	 -0.98682694
-0.13461512 	 -0.98569925
-0.13133183 	 -0.98460491
-0.12804853 	 -0.98354343
-0.12476524 	 -0.98251435
-0.12148194 	 -0.98151724
-0.11819864 	 -0.98055166
-0.11491535 	 -0.97961720
-0.11163205 	 -0.97871345
-0.10834876 	 -0.97784002
-0.10506546 	 -0.97699654
-0.10178217 	 -0.97618264
-0.09849887 	 -0.97539798
-0.09521557 	 -0.97464221
-0.09193228 	 -0.97391501
-0.08864898 	 -0.97321606
-0.08536569 	 -0.97254508
-0.08208239 	 -0.97190176
-0.07879910 	 -0.97128583
-0.07551580 	 -0.97069703
-0.07223250 	 -0.97013510
-0.06894921 	 -0.96959981
-0.06566591 	 -0.96909092
-0.06238262 	 -0.96860822
-0.05909932 	 -0.96815149
-0.05581603 	 -0.96772055
-0.05253273 	 -0.96731521
-0.04924944 	 -0.96693529
-0.04596614 	 -0.96658063
-0.04268284 	 -0.96625109
-0.03939955 	 -0.96594652
-0.03611625 	 -0.96566678
-0.03283296 	 -0.96541177
-0.02954966 	 -0.96518137
-0.02626637 	 -0.96497548
-0.02298307 	 -0.96479402
-0.01969977 	 -0.96463691
-0.01641648 	 -0.96450408
-0.01313318 	 -0.96439548
-0.00984989 	 -0.96431106
-0.00656659 	 -0.96425078
-0.00328330 	 -0.96421463
-0.00000000 	 -0.96420258
0.00328330 	 -0.96421463
0.00656659 	 -0.96425078
0.00984989 	 -0.96431106
0.01313318 	 -0.96439548
0.01641648 	 -0.96450408
0.01969977 	 -0.96463691
0.02298307 	 -0.96479402
0.02626637 	 -0.96497548
0.02954966 	 -0.96518137
0.03283296 	 -0.96541177
0.03611625 	 -0.96566678
0.03939955 	 -0.96594652
0.04268284 	 -0.96625109
0.04596614 	 -0.96658063
0.04924944 	 -0.96693529
0.05253273 	 -0.96731521
0.05581603 	 -0.96772055
0.05909932 	 -0.96815149
0.06238262 	 -0.96860822
0.06566591 	 -0.96909092
0.06894921 	 -0.96959981
0.07223250 	 -0.97013510
0.07551580 	 -0.97069703
0.07879910 	 -0.97128583
0.08208239 	 -0.97190176
0.08536569 	 -0.97254508
0.08864898 	 -0.97321606
0.09193228 	 -0.97391501
0.09521557 	 -0.97464221
0.09849887 	 -0.97539798
0.10178217 	 -0.97618264
0.10506546 	 -0.97699654
0.10834876 	 -0.97784002
0.11163205 	 -0.97871345
0.11491535 	 -0.97961720
0.11819864 	 -0.98055166
0.12148194 	 -0.98151724
0.12476524 	 -0.98251435
0.12804853 	 -0.98354343
0.13133183 	 -0.98460491
0.13461512 	 -0.98569925
0.13789842 	 -0.98682694
0.14118171 	 -0.98798845
0.14446501 	 -0.98918429
0.14774831 	 -0.99041496
0.15103160 	 -0.99168102
0.15431490 	 -0.99298299
0.15759819 	 -0.99432144
0.16088149 	 -0.99569695
0.16416478 	 -0.99711012
0.16744808 	 -0.99856154
0.17073138 	 -1.00005184
0.17401467 	 -1.00158167
0.17729797 	 -1.00315168
0.18058126 	 -1.00476255
0.18386456 	 -1.00641495
0.18714785 	 -1.00810961
0.19043115 	 -1.00984723
0.19371444 	 -1.01162857
0.19699774 	 -1.01345437
0.20028104 	 -1.01532541
0.20356433 	 -1.01724248
0.20684763 	 -1.01920639
0.21013092 	 -1.02121796
